"gene","category"
"TraesCS1A03G0896900","Ambiguous"
"TraesCS7A03G0476100","Ambiguous"
"TraesCS4A03G0205200","Compensatory"
"TraesCS6A03G0859200","Ambiguous"
"TraesCS1A03G0954900","Ambiguous"
"TraesCS7A03G0407600","Conserved"
"TraesCS6A03G0957500","Conserved"
"TraesCS3A03G0948300","Ambiguous"
"TraesCS7A03G0387500","Ambiguous"
"TraesCS3A03G0094800","Cis × trans"
"TraesCS4A03G0902600","Ambiguous"
"TraesCS2A03G0786900","Ambiguous"
"TraesCS7A03G0572900","Cis × trans"
"TraesCS4A03G0124400","Conserved"
"TraesCS1A03G0622500","Conserved"
"TraesCS2A03G0832800","Ambiguous"
"TraesCS4A03G0833100","Ambiguous"
"TraesCS4A03G0122800","Conserved"
"TraesCS7A03G0458800","Ambiguous"
"TraesCS3A03G0884700","Ambiguous"
"TraesCS1A03G0561600","Conserved"
"TraesCS4A03G0198000","Conserved"
"TraesCS7A03G0991400","Conserved"
"TraesCS7A03G1099200","Ambiguous"
"TraesCS5A03G0082300","Conserved"
"TraesCS7A03G0845300","Conserved"
"TraesCS4A03G0186300","Conserved"
"TraesCS5A03G0378700","Conserved"
"TraesCS7A03G0455600","Conserved"
"TraesCS1A03G0835900","Conserved"
"TraesCS1A03G0747100","Ambiguous"
"TraesCS2B03G1066100","Conserved"
"TraesCS6B03G1143700","Cis × trans"
"TraesCS7B03G0229800","Ambiguous"
"TraesCS5B03G1092500","Trans only"
"TraesCS5B03G0065800","Ambiguous"
"TraesCS6B03G0607000","Conserved"
"TraesCS6B03G0988700","Compensatory"
"TraesCS2B03G0517200","Ambiguous"
"TraesCS6B03G0978000","Conserved"
"TraesCS5B03G1150200","Compensatory"
"TraesCS6B03G1047500","Compensatory"
"TraesCS4B03G0705800","Ambiguous"
"TraesCS3B03G0502900","Ambiguous"
"TraesCS5B03G0611500","Ambiguous"
"TraesCS5B03G1294900","Ambiguous"
"TraesCS7B03G0976000","Conserved"
"TraesCS2B03G1445100","Cis + trans"
"TraesCS3B03G1050400","Ambiguous"
"TraesCS4B03G0700400","Ambiguous"
"TraesCS5B03G0627800","Ambiguous"
"TraesCS5B03G0890600","Conserved"
"TraesCS2B03G0967600","Compensatory"
"TraesCS5B03G0938100","Conserved"
"TraesCS5B03G0825400","Ambiguous"
"TraesCS6B03G0772400","Conserved"
"TraesCS5B03G0904300","Cis × trans"
"TraesCS3B03G0444100","Ambiguous"
"TraesCS3B03G1040700","Ambiguous"
"TraesCS1B03G1027000","Conserved"
"TraesCS1B03G0544000","Conserved"
"TraesCS5B03G0074700","Conserved"
"TraesCS5B03G0837000","Conserved"
"TraesCS2B03G1047700","Ambiguous"
"TraesCS5B03G0765400","Ambiguous"
"TraesCS1B03G0615800","Conserved"
